Date,Month,Day of Week,Place,Drink,Topping,Type 
2/12/2023,February,Sunday,TP Tea,Mango Boba Milk Tea,Boba,Milk
2/17/2023,February,Friday,TP Tea,Strawberry Matcha Latte,Boba,Milk
2/18/2023,February,Saturday,Jazen Tea,Mango Green Tea,Boba,Fruit
3/4/2023,March,Saturday,Truedan,Grapefruit Green Tea,Boba,Fruit
3/5/2023,March,Sunday,Jooy,Strawberry Matcha Latte,Boba,Milk
3/10/2023,March,Friday,Tpumps,"Passion Fruit, Mango, Peach Black Milk Tea",Boba,Milk
3/12/2023,March,Sunday,Cafe Lattea,Black Milk Tea,Boba,Milk
3/15/2023,March,Wednesday,Yifang,Peach Grapefruit Green Tea,None,Fruit
3/16/2023,March,Thursday,Yifang,Fruit Tea,Boba,Fruit
3/18/2023,March,Saturday,Teaspoon,House Milk Tea,Boba,Milk
3/21/2023,March,Tuesday,Meet Fresh,Passion Fruit Green Tea,Boba,Fruit
3/28/2023,March,Tuesday,Mr. Sun,Rainbow Boba Milk Tea,Rainbow Boba,Milk
3/31/2023,March,Friday,TP Tea,Passion Fruit Green Tea,None,Fruit
4/1/2023,April,Saturday,Boba Guys,Strawberry Matcha Latte,Boba,Milk
4/2/2023,April,Sunday,TP Tea,Boba Milk Tea,Boba,Milk
4/9/2023,April,Sunday,TP Tea,Passion Fruit Green Tea,Boba,Fruit
4/12/2023,April,Wednesday,Boba Guys,Strawberry Matcha Latte,Boba,Milk
4/14/2023,April,Friday,Tastea,Sunset Peach,Boba,Fruit
4/17/2023,April,Monday,Gong Cha,Grapefruit Green Tea,Boba,Fruit
4/19/2023,April,Wednesday,Omomo,Omomo Matcha,Boba,Milk
4/20/2023,April,Thursday,Orobae,Oolong Milk Tea,Boba,Milk
4/27/2023,April,Thursday,Cafe Lattea,Passion Fruit Green Tea,Boba,Fruit
4/30/2023,April,Sunday,Tastea,Sunset Peach,Boba,Fruit
5/2/2023,May,Tuesday,Happy Lemon,Passion Fruit Green Tea,Boba,Fruit
5/6/2023,May,Saturday,Boba Beast,Black Milk Tea,Boba,Milk
5/12/2023,May,Friday,Tan Cha,Matcha Brown Sugar,Boba,Milk
5/14/2023,May,Sunday,TP Tea,Mango Boba Milk Tea,Boba,Milk
5/19/2023,May,Friday,Tastea,Mango Milk Tea,Boba,Milk
5/22/2023,May,Monday,Boba Guys,Strawberry Matcha Latte,Boba,Milk
5/26/2023,May,Friday,Tastea,Strawberry Milk Tea,Boba,Milk
5/27/2023,May,Saturday,Calibear Cyber Cafe,Black Milk Tea,Boba,Milk
